"","opponent","event_day_of_week","days_before_event","section_name","channel","price_level","primary_tickets_sold","primary_average_ticket_price","churn"
"1",17,"Tuesday",0,69,"Web","R - 300L",2,"$32.83",0
"2",13,"Monday",0,16,"Back Office","C - 100L",1,"$121.92",0
"3",2,"Wednesday",2,56,"Web","Q - 300L",3,"$30.93",0
"4",16,"Saturday",11,79,"Back Office","O - 300L",3,"$63.50",0
"5",22,"Wednesday",35,25,"Web","D - 100L",3,"$115.67",0
"6",20,"Sunday",48,78,"Back Office","R - 300L",2,"$25.38",0
"7",24,"Tuesday",2,26,"Web","C - 100L",1,"$74.52",0
"8",16,"Saturday",5,22,"Back Office","G - 100L",3,"$95.89",1
"9",7,"Monday",4,61,"Box Office","R - 300L",1,"$31.28",1
"10",14,"Wednesday",1,47,"Box Office","O - 300L",3,"$45.32",1
"11",3,"Sunday",0,66,"Back Office","O - 300L",23,"$30.99",0
"12",23,"Saturday",0,56,"Web","R - 300L",4,"$39.82",0
"13",5,"Tuesday",50,21,"Web","I - 100L",1,"$127.60",0
"14",19,"Sunday",2,19,"Web","G - 100L",2,"$61.75",0
"15",18,"Thursday",0,61,"Box Office","R - 300L",2,"$42.56",1
"16",3,"Thursday",62,16,"Web","C - 100L",2,"$191.70",0
"17",3,"Sunday",0,66,"Web","O - 300L",2,"$67.73",0
"18",12,"Saturday",0,32,"Web","F -100L",5,"$60.29",0
"19",9,"Thursday",4,22,"Web","G - 100L",1,"$99.26",0
"20",29,"Monday",0,66,"Web","O - 300L",2,"$45.25",0
"21",18,"Saturday",0,50,"Box Office","R - 300L",2,"$43.74",1
"22",25,"Thursday",3,53,"Web","R - 300L",7,"$36.76",0
"23",15,"Saturday",24,20,"Back Office","G - 100L",2,"$84.56",0
"24",29,"Monday",3,60,"Web","R - 300L",4,"$21.15",0
"25",22,"Wednesday",0,56,"Back Office","R - 300L",13,"$15.80",0
"26",20,"Tuesday",126,33,"Web","D - 100L",2,"$107.68",0
"27",24,"Saturday",207,40,"Web","L1 - 200L",2,"$96.01",0
"28",27,"Monday",236,22,"Web","I - 100L",2,"$77.40",1
"29",13,"Sunday",0,60,"Box Office","R - 300L",1,"$28.84",1
"30",27,"Saturday",12,36,"Back Office","M - 200L",2,"$73.36",0
"31",7,"Monday",0,20,"Back Office","G - 100L",1,"$140.00",1
"32",25,"Thursday",0,72,"Web","R - 300L",3,"$29.29",0
"33",12,"Saturday",3,42,"Web","L2 - 200L",6,"$87.72",0
"34",21,"Sunday",25,38,"Web","M - 200L",2,"$94.83",0
"35",3,"Saturday",0,31,"Back Office","H - 100L",2,"$100.40",1
"36",31,"Tuesday",77,17,"Web","D - 100L",2,"$133.08",0
"37",4,"Thursday",8,80,"Back Office","P - 300L",1,"$50.47",0
"38",23,"Saturday",0,48,"Web","P - 300L",3,"$63.84",0
"39",13,"Monday",0,21,"Back Office","I - 100L",5,"$60.46",1
"40",10,"Thursday",29,16,"Web","C - 100L",2,"$160.68",0
"41",30,"Thursday",0,38,"Back Office","M - 200L",5,"$54.26",1
"42",20,"Tuesday",95,11,"Web","J",2,"$104.40",0
"43",30,"Sunday",6,75,"Web","Q - 300L",1,"$40.94",1
"44",25,"Saturday",17,19,"Web","G - 100L",2,"$217.74",0
"45",1,"Monday",0,32,"Back Office","F -100L",3,"$73.71",1
"46",20,"Saturday",0,50,"Box Office","R - 300L",2,"$60.76",1
"47",21,"Sunday",15,80,"Web","O - 300L",2,"$67.85",1
"48",25,"Saturday",226,63,"Web","P - 300L",2,"$81.00",1
"49",31,"Monday",0,33,"Back Office","D - 100L",36,"$50.61",0
"50",19,"Thursday",108,16,"Back Office","C - 100L",4,"$159.64",1
"51",8,"Monday",3,77,"Web","R - 300L",1,"$41.65",1
"52",18,"Saturday",4,38,"Back Office","L1 - 200L",4,"$89.49",1
"53",16,"Thursday",2,58,"Web","R - 300L",4,"$19.84",0
"54",18,"Saturday",12,30,"Web","H - 100L",2,"$96.10",0
"55",14,"Saturday",6,23,"Web","G - 100L",2,"$197.23",1
"56",18,"Saturday",12,29,"Web","F -100L",1,"$74.50",0
"57",1,"Saturday",0,42,"Back Office","K - 200L",1,"$70.31",0
"58",5,"Thursday",66,25,"Back Office","D - 100L",2,"$115.75",0
"59",27,"Monday",0,38,"Web","L1 - 200L",5,"$39.53",0
"60",25,"Thursday",1,67,"Web","R - 300L",2,"$25.25",1
"61",5,"Wednesday",8,27,"Web","D - 100L",1,"$257.75",0
"62",21,"Saturday",80,21,"Web","I - 100L",5,"$92.87",0
"63",16,"Saturday",68,27,"Back Office","D - 100L",2,"$137.70",0
"64",26,"Tuesday",0,17,"Back Office","D - 100L",6,"$72.06",0
"65",4,"Thursday",0,61,"Box Office","R - 300L",5,"$31.61",1
"66",20,"Saturday",0,38,"Back Office","M - 200L",6,"$47.62",1
"67",25,"Saturday",11,19,"Back Office","G - 100L",4,"$156.52",1
"68",23,"Saturday",0,19,"Back Office","G - 100L",1,"$106.08",1
"69",22,"Wednesday",23,51,"Back Office","R - 300L",6,"$19.58",0
"70",2,"Monday",183,62,"Web","O - 300L",2,"$87.20",0
"71",27,"Monday",1,34,"Web","D - 100L",4,"$118.32",0
"72",9,"Thursday",7,20,"Web","G - 100L",3,"$93.02",0
"73",16,"Saturday",18,36,"Back Office","L1 - 200L",4,"$80.31",0
"74",26,"Sunday",4,61,"Box Office","R - 300L",1,"$26.36",1
"75",2,"Wednesday",33,34,"Web","D - 100L",2,"$158.86",0
"76",24,"Saturday",205,16,"Web","C - 100L",3,"$192.00",0
"77",9,"Thursday",8,26,"Web","C - 100L",2,"$214.00",1
"78",9,"Thursday",2,22,"Back Office","I - 100L",4,"$112.00",0
"79",31,"Saturday",0,46,"Back Office","K - 200L",2,"$150.02",1
"80",20,"Sunday",82,53,"Back Office","R - 300L",1,"$15.15",0
"81",14,"Thursday",2,78,"Back Office","R - 300L",3,"$24.04",1
"82",20,"Tuesday",72,25,"Web","D - 100L",4,"$121.08",0
"83",9,"Thursday",17,27,"Web","D - 100L",3,"$165.30",0
"84",2,"Wednesday",0,64,"Back Office","P - 300L",3,"$22.37",1
"85",1,"Monday",12,72,"Back Office","R - 300L",1,"$38.70",1
"86",29,"Monday",0,64,"Web","P - 300L",1,"$30.95",0
"87",31,"Saturday",144,76,"Web","Q - 300L",2,"$56.43",1
"88",27,"Monday",1,35,"Web","L1 - 200L",2,"$60.96",0
"89",14,"Thursday",3,17,"Web","D - 100L",2,"$106.14",0
"90",18,"Saturday",5,47,"Web","P - 300L",3,"$58.30",0
"91",31,"Tuesday",5,70,"Web","R - 300L",5,"$39.81",0
"92",31,"Monday",21,58,"Web","R - 300L",2,"$28.50",0
"93",25,"Saturday",7,51,"Web","R - 300L",2,"$30.48",0
"94",14,"Wednesday",23,25,"Back Office","D - 100L",3,"$81.08",0
"95",18,"Tuesday",1,50,"Web","R - 300L",1,"$36.04",0
"96",8,"Monday",63,4,"Web","J",2,"$112.52",0
"97",30,"Tuesday",0,47,"Box Office","O - 300L",2,"$35.15",1
"98",27,"Saturday",3,65,"Back Office","P - 300L",3,"$13.71",0
"99",20,"Thursday",2,51,"Back Office","R - 300L",6,"$18.61",0
"100",4,"Wednesday",2,49,"Back Office","P - 300L",7,"$27.54",0
"101",30,"Sunday",0,40,"Box Office","L1 - 200L",1,"$30.80",0
"102",20,"Sunday",24,16,"Web","C - 100L",4,"$162.71",1
"103",3,"Saturday",25,73,"Back Office","R - 300L",4,"$50.98",0
"104",16,"Saturday",0,66,"Back Office","O - 300L",15,"$44.31",0
"105",21,"Sunday",51,42,"Web","L2 - 200L",3,"$77.40",1
"106",9,"Thursday",10,6,"Web","J",2,"$153.55",0
"107",1,"Thursday",2,16,"Web","C - 100L",4,"$136.17",0
"108",18,"Saturday",4,27,"Back Office","D - 100L",3,"$93.14",0
"109",20,"Thursday",100,23,"Web","G - 100L",4,"$99.28",0
"110",18,"Saturday",4,64,"Back Office","P - 300L",8,"$24.75",0
"111",4,"Wednesday",90,47,"Web","O - 300L",2,"$47.50",0
"112",31,"Saturday",33,51,"Back Office","R - 300L",6,"$72.86",1
"113",25,"Saturday",197,50,"Web","R - 300L",2,"$83.33",0
"114",2,"Wednesday",25,29,"Web","F -100L",2,"$75.93",0
"115",31,"Saturday",4,29,"Web","F -100L",2,"$210.59",1
"116",13,"Tuesday",8,67,"Web","R - 300L",2,"$46.64",0
"117",26,"Tuesday",0,72,"Back Office","R - 300L",4,"$16.34",0
"118",28,"Sunday",38,40,"Web","L1 - 200L",2,"$70.00",0
"119",7,"Thursday",147,36,"Web","M - 200L",1,"$66.83",0
"120",17,"Saturday",1,77,"Web","Q - 300L",3,"$36.77",0
"121",31,"Saturday",22,41,"Back Office","K - 200L",4,"$114.35",1
"122",5,"Wednesday",0,64,"Web","O - 300L",3,"$75.44",0
"123",1,"Saturday",5,30,"Back Office","H - 100L",3,"$63.53",1
"124",16,"Saturday",0,29,"Back Office","F -100L",21,"$92.94",0
"125",24,"Thursday",0,63,"Box Office","P - 300L",1,"$24.15",0
"126",18,"Tuesday",5,72,"Back Office","R - 300L",9,"$17.60",1
"127",26,"Saturday",1,37,"Web","L1 - 200L",3,"$45.95",0
"128",13,"Monday",29,33,"Web","D - 100L",2,"$99.36",0
"129",21,"Sunday",0,23,"Back Office","G - 100L",4,"$107.88",0
"130",6,"Wednesday",0,38,"Back Office","L1 - 200L",3,"$46.57",0
"131",26,"Saturday",83,31,"Web","F -100L",1,"$98.49",1
"132",15,"Saturday",24,39,"Back Office","M - 200L",2,"$39.92",0
"133",1,"Saturday",0,65,"Back Office","P - 300L",12,"$22.48",0
"134",27,"Monday",0,18,"Box Office","D - 100L",4,"$145.60",1
"135",27,"Thursday",37,25,"Web","D - 100L",1,"$83.12",0
"136",3,"Saturday",7,78,"Web","R - 300L",3,"$33.57",0
"137",29,"Monday",22,25,"Web","D - 100L",1,"$147.03",1
"138",1,"Saturday",0,68,"Box Office","R - 300L",5,"$81.36",1
"139",2,"Wednesday",90,43,"Back Office","L2 - 200L",1,"$128.58",0
"140",15,"Saturday",30,43,"Back Office","L2 - 200L",8,"$51.76",1
"141",9,"Thursday",211,40,"Web","L1 - 200L",1,"$82.45",1
"142",5,"Tuesday",0,29,"Box Office","F -100L",1,"$65.96",1
"143",30,"Thursday",0,21,"Box Office","I - 100L",2,"$100.92",1
"144",18,"Saturday",25,19,"Web","G - 100L",4,"$133.46",0
"145",21,"Sunday",42,23,"Web","G - 100L",6,"$102.08",0
"146",31,"Saturday",33,21,"Back Office","G - 100L",2,"$174.63",1
"147",18,"Saturday",0,71,"Web","R - 300L",2,"$34.76",0
"148",17,"Saturday",2,34,"Web","D - 100L",2,"$180.55",0
"149",14,"Saturday",0,64,"Box Office","O - 300L",2,"$69.23",0
"150",4,"Saturday",19,28,"Back Office","D - 100L",4,"$119.19",0
"151",3,"Thursday",3,56,"Web","Q - 300L",3,"$45.61",0
"152",20,"Thursday",102,23,"Web","G - 100L",3,"$162.16",0
"153",21,"Sunday",8,48,"Web","O - 300L",2,"$67.85",0
"154",21,"Saturday",84,17,"Web","D - 100L",2,"$139.05",0
"155",13,"Sunday",13,22,"Back Office","G - 100L",3,"$109.20",0
"156",3,"Tuesday",13,71,"Web","R - 300L",2,"$35.86",0
"157",3,"Saturday",2,44,"Back Office","K - 200L",2,"$83.54",0
"158",31,"Saturday",11,60,"Back Office","R - 300L",7,"$51.37",1
"159",17,"Saturday",21,32,"Web","F -100L",2,"$114.60",0
"160",5,"Wednesday",42,11,"Web","J",2,"$137.70",0
"161",29,"Monday",0,51,"Web","Q - 300L",2,"$35.22",1
"162",23,"Saturday",70,32,"Web","F -100L",2,"$168.56",0
"163",4,"Thursday",6,71,"Web","R - 300L",2,"$25.84",1
"164",24,"Saturday",45,60,"Back Office","R - 300L",1,"$18.49",0
"165",14,"Saturday",63,21,"Web","I - 100L",2,"$94.26",0
"166",10,"Wednesday",2,32,"Back Office","F -100L",12,"$75.56",0
"167",2,"Wednesday",33,17,"Back Office","D - 100L",2,"$89.40",1
"168",18,"Saturday",96,17,"Back Office","D - 100L",2,"$90.29",0
"169",11,"Tuesday",0,23,"Back Office","D - 100L",7,"$100.57",1
"170",30,"Sunday",0,67,"Web","R - 300L",2,"$21.79",0
"171",17,"Saturday",0,80,"Web","P - 300L",2,"$53.58",0
"172",23,"Saturday",1,26,"Web","C - 100L",1,"$102.00",0
"173",11,"Thursday",0,20,"Back Office","G - 100L",6,"$42.80",1
"174",10,"Thursday",76,47,"Web","P - 300L",2,"$63.10",0
"175",16,"Saturday",144,26,"Web","C - 100L",1,"$208.00",1
"176",28,"Saturday",4,40,"Back Office","L1 - 200L",2,"$57.54",1
"177",21,"Saturday",144,80,"Web","O - 300L",3,"$68.18",0
"178",10,"Saturday",0,37,"Back Office","M - 200L",11,"$95.12",1
"179",29,"Monday",83,34,"Web","D - 100L",2,"$145.23",0
"180",18,"Tuesday",1,23,"Back Office","G - 100L",3,"$49.42",1
"181",10,"Wednesday",30,65,"Back Office","P - 300L",4,"$17.62",0
"182",2,"Wednesday",0,53,"Back Office","R - 300L",10,"$17.06",1
"183",21,"Saturday",12,60,"Web","R - 300L",4,"$47.30",1
"184",4,"Wednesday",2,75,"Back Office","R - 300L",7,"$20.64",0
"185",16,"Tuesday",12,34,"Web","D - 100L",3,"$121.80",0
"186",31,"Saturday",0,17,"Box Office","D - 100L",1,"$187.00",1
"187",29,"Saturday",0,61,"Box Office","R - 300L",2,"$86.96",0
"188",18,"Tuesday",25,30,"Back Office","H - 100L",2,"$97.79",0
"189",31,"Saturday",5,34,"Web","D - 100L",2,"$78.95",0
"190",28,"Thursday",3,48,"Back Office","P - 300L",2,"$24.15",0
"191",3,"Thursday",48,30,"Web","F -100L",2,"$171.74",0
"192",10,"Wednesday",211,40,"Web","L1 - 200L",3,"$117.88",1
"193",14,"Thursday",1,21,"Back Office","G - 100L",2,"$35.67",1
"194",20,"Sunday",12,67,"Back Office","R - 300L",2,"$12.54",0
"195",1,"Thursday",4,36,"Web","L1 - 200L",2,"$72.14",0
"196",10,"Saturday",36,78,"Web","R - 300L",3,"$85.10",0
"197",21,"Thursday",42,43,"Web","L2 - 200L",5,"$74.87",0
"198",29,"Monday",0,26,"Web","C - 100L",2,"$163.12",0
"199",21,"Saturday",0,70,"Box Office","R - 300L",2,"$56.65",0
"200",9,"Friday",1,78,"Back Office","R - 300L",4,"$40.06",1
"201",4,"Thursday",88,53,"Web","Q - 300L",5,"$72.45",0
"202",7,"Monday",0,38,"Back Office","L1 - 200L",2,"$32.39",1
"203",28,"Sunday",1,26,"Web","C - 100L",1,"$118.61",1
"204",23,"Monday",4,56,"Back Office","Q - 300L",2,"$18.30",1
"205",16,"Thursday",0,50,"Back Office","R - 300L",2,"$19.24",1
"206",21,"Thursday",58,44,"Web","L2 - 200L",10,"$78.89",0
"207",30,"Sunday",0,80,"Web","O - 300L",2,"$51.75",0
"208",31,"Saturday",26,61,"Back Office","R - 300L",8,"$65.99",1
"209",22,"Wednesday",29,29,"Back Office","F -100L",3,"$63.09",0
"210",31,"Monday",0,43,"Back Office","L2 - 200L",12,"$20.45",0
"211",27,"Wednesday",36,21,"Back Office","G - 100L",2,"$100.63",0
"212",26,"Saturday",1,47,"Web","P - 300L",2,"$39.73",0
"213",24,"Thursday",2,27,"Web","D - 100L",2,"$108.75",0
"214",28,"Saturday",64,50,"Back Office","R - 300L",3,"$52.00",0
"215",27,"Thursday",1,26,"Web","C - 100L",2,"$145.52",0
"216",29,"Saturday",184,63,"Web","P - 300L",2,"$84.55",0
"217",19,"Sunday",0,68,"Box Office","R - 300L",2,"$33.60",0
"218",31,"Saturday",47,30,"Back Office","H - 100L",4,"$96.94",1
"219",3,"Sunday",8,29,"Web","F -100L",4,"$179.55",0
"220",3,"Thursday",15,16,"Web","C - 100L",2,"$104.00",0
"221",5,"Wednesday",0,78,"Web","R - 300L",2,"$44.99",0
"222",15,"Saturday",5,80,"Back Office","O - 300L",4,"$29.41",1
"223",25,"Thursday",0,50,"Box Office","R - 300L",2,"$54.60",0
"224",4,"Wednesday",27,16,"Web","C - 100L",2,"$151.53",0
"225",23,"Monday",0,31,"Back Office","H - 100L",7,"$50.49",1
"226",26,"Saturday",14,80,"Web","P - 300L",6,"$23.14",0
"227",20,"Sunday",76,21,"Back Office","I - 100L",2,"$55.26",1
"228",23,"Saturday",1,49,"Web","N - 300L",2,"$45.79",0
"229",21,"Saturday",0,53,"Web","Q - 300L",2,"$55.87",0
"230",3,"Thursday",7,47,"Web","P - 300L",6,"$47.69",0
"231",24,"Tuesday",2,29,"Web","F -100L",3,"$88.25",0
"232",16,"Tuesday",22,30,"Web","F -100L",3,"$96.48",0
"233",23,"Saturday",42,69,"Web","R - 300L",2,"$45.68",0
"234",8,"Monday",0,76,"Web","R - 300L",1,"$23.38",1
"235",28,"Sunday",16,79,"Web","N - 300L",2,"$60.99",0
"236",24,"Tuesday",27,40,"Web","L1 - 200L",3,"$79.05",0
"237",13,"Tuesday",133,23,"Web","G - 100L",2,"$138.02",0
"238",26,"Saturday",7,33,"Web","D - 100L",5,"$67.10",0
"239",30,"Sunday",0,64,"Web","P - 300L",1,"$18.43",1
"240",22,"Wednesday",0,66,"Back Office","P - 300L",3,"$12.87",0
"241",16,"Saturday",33,29,"Back Office","F -100L",9,"$107.25",0
"242",6,"Tuesday",19,69,"Web","R - 300L",1,"$24.01",1
"243",30,"Sunday",4,70,"Web","R - 300L",2,"$28.61",0
"244",7,"Monday",14,21,"Back Office","I - 100L",6,"$61.19",1
"245",23,"Saturday",18,66,"Back Office","P - 300L",2,"$30.90",1
"246",20,"Thursday",28,32,"Web","F -100L",4,"$111.02",0
"247",2,"Wednesday",0,67,"Box Office","R - 300L",7,"$46.75",1
"248",27,"Thursday",1,32,"Web","F -100L",2,"$49.71",1
"249",11,"Tuesday",36,35,"Back Office","L1 - 200L",2,"$50.49",1
"250",20,"Saturday",141,21,"Web","I - 100L",2,"$132.05",0
"251",22,"Wednesday",10,20,"Web","D - 100L",1,"$121.64",0
"252",24,"Monday",98,55,"Back Office","R - 300L",2,"$15.34",0
"253",10,"Thursday",0,67,"Web","R - 300L",1,"$30.19",0
"254",24,"Saturday",173,41,"Web","K - 200L",2,"$106.49",0
"255",30,"Saturday",40,26,"Web","C - 100L",1,"$133.55",0
"256",27,"Wednesday",9,39,"Back Office","M - 200L",6,"$37.55",0
"257",7,"Monday",0,31,"Back Office","H - 100L",1,"$38.74",1
"258",13,"Monday",64,35,"Web","L1 - 200L",3,"$71.92",0
"259",26,"Tuesday",1,24,"Back Office","D - 100L",2,"$51.08",0
"260",24,"Saturday",66,78,"Back Office","R - 300L",8,"$20.27",0
"261",16,"Tuesday",41,16,"Web","C - 100L",1,"$146.85",0
"262",9,"Monday",19,47,"Back Office","O - 300L",8,"$49.68",0
"263",31,"Saturday",11,63,"Back Office","O - 300L",3,"$64.88",1
"264",6,"Wednesday",15,69,"Back Office","R - 300L",4,"$22.39",0
"265",3,"Tuesday",28,16,"Web","C - 100L",2,"$146.08",0
"266",2,"Wednesday",38,50,"Web","R - 300L",2,"$45.90",0
"267",3,"Tuesday",46,20,"Back Office","B",2,"$450.12",1
"268",23,"Saturday",1,50,"Web","R - 300L",3,"$32.19",0
"269",14,"Saturday",6,18,"Web","D - 100L",2,"$129.18",0
"270",11,"Saturday",42,80,"Web","O - 300L",2,"$82.84",0
"271",24,"Monday",14,58,"Back Office","R - 300L",1,"$13.72",0
"272",26,"Sunday",0,56,"Box Office","R - 300L",1,"$16.84",1
"273",9,"Thursday",0,79,"Web","P - 300L",3,"$59.28",0
"274",23,"Saturday",0,60,"Web","R - 300L",2,"$33.85",0
"275",21,"Sunday",12,17,"Box Office","D - 100L",2,"$125.80",1
"276",15,"Friday",1,16,"Web","C - 100L",3,"$128.04",0
"277",15,"Saturday",214,28,"Web","D - 100L",2,"$158.86",0
"278",6,"Tuesday",1,17,"Web","D - 100L",2,"$93.72",0
"279",2,"Wednesday",1,45,"Web","L2 - 200L",2,"$70.09",0
"280",25,"Saturday",197,27,"Web","D - 100L",1,"$267.05",1
"281",21,"Sunday",1,64,"Web","O - 300L",3,"$65.49",0
"282",7,"Monday",18,35,"Back Office","L1 - 200L",2,"$41.23",1
"283",15,"Saturday",33,61,"Back Office","R - 300L",1,"$19.58",1
"284",30,"Saturday",26,32,"Back Office","F -100L",2,"$82.78",1
"285",26,"Tuesday",50,22,"Web","I - 100L",3,"$95.45",0
"286",31,"Tuesday",32,55,"Web","R - 300L",6,"$23.66",0
"287",12,"Saturday",5,17,"Web","D - 100L",3,"$119.85",1
"288",21,"Thursday",0,79,"Box Office","N - 300L",1,"$52.36",1
"289",6,"Tuesday",0,47,"Box Office","O - 300L",1,"$27.80",0
"290",11,"Tuesday",1,21,"Back Office","G - 100L",4,"$80.58",1
"291",3,"Sunday",55,23,"Web","G - 100L",4,"$131.50",0
"292",27,"Saturday",3,46,"Back Office","K - 200L",3,"$31.24",1
"293",30,"Thursday",14,23,"Web","D - 100L",4,"$667.50",0
"294",6,"Wednesday",55,26,"Back Office","C - 100L",2,"$88.41",0
"295",18,"Saturday",17,49,"Back Office","P - 300L",5,"$20.53",0
"296",9,"Thursday",40,65,"Web","N - 300L",2,"$66.95",0
"297",25,"Saturday",0,25,"Back Office","D - 100L",4,"$97.51",1
"298",8,"Monday",1,32,"Web","F -100L",4,"$101.38",1
"299",21,"Sunday",1,63,"Web","O - 300L",1,"$54.87",0
"300",13,"Sunday",3,67,"Web","R - 300L",1,"$20.68",1
"301",26,"Sunday",39,27,"Web","D - 100L",3,"$112.80",0
"302",31,"Saturday",0,80,"Back Office","P - 300L",27,"$62.55",1
"303",16,"Saturday",72,67,"Web","R - 300L",2,"$70.00",0
"304",31,"Saturday",30,67,"Web","R - 300L",2,"$73.00",0
"305",14,"Saturday",0,47,"Box Office","P - 300L",2,"$71.40",0
"306",17,"Saturday",0,32,"Box Office","F -100L",1,"$45.23",1
"307",30,"Sunday",4,26,"Web","C - 100L",2,"$146.85",0
"308",25,"Thursday",15,30,"Web","H - 100L",3,"$101.92",0
"309",19,"Thursday",23,27,"Back Office","D - 100L",2,"$106.73",0
"310",5,"Thursday",66,26,"Back Office","C - 100L",3,"$133.65",1
"311",1,"Thursday",3,56,"Web","R - 300L",2,"$36.40",0
"312",23,"Saturday",5,33,"Back Office","D - 100L",4,"$152.44",1
"313",11,"Tuesday",22,25,"Back Office","D - 100L",9,"$112.36",1
"314",27,"Monday",1,71,"Web","R - 300L",4,"$28.70",0
"315",26,"Saturday",4,42,"Web","L2 - 200L",3,"$58.30",1
"316",21,"Thursday",0,78,"Box Office","R - 300L",1,"$36.11",1
"317",1,"Thursday",0,80,"Web","P - 300L",2,"$26.87",0
"318",1,"Saturday",5,38,"Back Office","M - 200L",1,"$60.44",1
"319",24,"Tuesday",0,58,"Web","R - 300L",1,"$25.56",0
"320",7,"Monday",42,26,"Back Office","C - 100L",2,"$147.01",1
"321",24,"Saturday",3,64,"Back Office","P - 300L",3,"$35.53",0
"322",31,"Saturday",12,79,"Web","P - 300L",5,"$75.84",0
"323",22,"Thursday",136,29,"Web","F -100L",4,"$98.72",0
"324",7,"Wednesday",1,55,"Web","R - 300L",6,"$19.05",0
"325",24,"Saturday",175,36,"Web","M - 200L",2,"$108.12",0
"326",27,"Saturday",14,63,"Web","O - 300L",2,"$63.27",0
"327",26,"Saturday",34,27,"Web","D - 100L",4,"$131.08",0
"328",15,"Friday",0,22,"Web","I - 100L",2,"$82.09",0
"329",16,"Saturday",3,20,"Back Office","G - 100L",5,"$56.50",1
"330",30,"Thursday",31,77,"Web","R - 300L",3,"$46.44",1
"331",18,"Saturday",1,80,"Web","P - 300L",3,"$40.11",0
"332",24,"Tuesday",2,19,"Web","G - 100L",2,"$85.25",1
"333",21,"Thursday",8,25,"Back Office","D - 100L",4,"$92.40",0
"334",26,"Saturday",22,28,"Web","D - 100L",3,"$124.12",0
"335",3,"Saturday",32,18,"Web","D - 100L",5,"$271.98",0
"336",16,"Saturday",140,16,"Web","C - 100L",2,"$196.00",0
"337",20,"Thursday",57,29,"Back Office","F -100L",5,"$119.79",1
"338",14,"Saturday",90,39,"Web","M - 200L",2,"$84.80",1
"339",14,"Saturday",1,22,"Web","I - 100L",4,"$144.76",1
"340",13,"Monday",129,23,"Web","D - 100L",2,"$145.23",0
"341",5,"Thursday",2,38,"Back Office","M - 200L",2,"$106.56",0
"342",13,"Monday",1,21,"Web","G - 100L",1,"$75.64",0
"343",10,"Wednesday",0,55,"Back Office","Q - 300L",2,"$33.67",0
"344",16,"Saturday",11,47,"Back Office","O - 300L",4,"$68.92",1
"345",25,"Thursday",1,60,"Web","R - 300L",1,"$25.46",0
"346",1,"Saturday",8,50,"Back Office","R - 300L",4,"$17.82",1
"347",31,"Tuesday",56,66,"Web","O - 300L",4,"$59.41",0
"348",9,"Monday",52,27,"Web","D - 100L",6,"$143.63",0
"349",5,"Wednesday",1,68,"Web","R - 300L",5,"$53.70",0
"350",25,"Saturday",3,53,"Web","R - 300L",2,"$57.75",0
"351",10,"Wednesday",55,28,"Back Office","D - 100L",2,"$114.47",0
"352",15,"Saturday",54,26,"Back Office","C - 100L",2,"$148.33",0
"353",18,"Saturday",55,46,"Web","K - 200L",3,"$97.75",1
"354",20,"Tuesday",110,20,"Web","G - 100L",2,"$78.54",0
"355",16,"Saturday",8,26,"Back Office","C - 100L",3,"$140.09",0
"356",18,"Saturday",11,25,"Back Office","D - 100L",2,"$96.45",0
"357",10,"Thursday",4,64,"Web","P - 300L",2,"$63.27",1
"358",20,"Tuesday",1,72,"Web","R - 300L",1,"$45.79",0
"359",7,"Monday",18,25,"Web","D - 100L",2,"$151.80",0
"360",12,"Thursday",19,48,"Web","O - 300L",4,"$51.84",0
"361",14,"Saturday",0,68,"Web","R - 300L",2,"$54.92",0
"362",25,"Saturday",1,44,"Back Office","L2 - 200L",11,"$70.03",1
"363",3,"Thursday",0,40,"Back Office","L1 - 200L",2,"$26.77",0
"364",16,"Saturday",33,26,"Back Office","C - 100L",2,"$137.36",0
"365",15,"Saturday",44,53,"Back Office","R - 300L",5,"$30.20",0
"366",3,"Thursday",50,21,"Web","I - 100L",2,"$126.50",1
"367",17,"Saturday",45,66,"Web","O - 300L",4,"$58.05",0
"368",27,"Thursday",1,70,"Web","R - 300L",1,"$18.69",0
"369",29,"Monday",150,16,"Web","C - 100L",3,"$179.82",0
"370",19,"Sunday",0,44,"Web","K - 200L",2,"$64.20",0
"371",1,"Saturday",0,25,"Box Office","D - 100L",6,"$230.50",1
"372",16,"Thursday",0,17,"Web","D - 100L",3,"$67.96",0
"373",25,"Thursday",9,47,"Web","P - 300L",5,"$40.38",0
"374",25,"Thursday",225,23,"Web","G - 100L",2,"$127.72",1
"375",3,"Sunday",2,48,"Box Office","O - 300L",2,"$80.55",1
"376",28,"Thursday",3,65,"Back Office","N - 300L",3,"$52.72",0
"377",3,"Saturday",36,37,"Web","M - 200L",2,"$172.80",0
"378",20,"Thursday",1,62,"Web","P - 300L",4,"$32.93",0
"379",11,"Tuesday",0,24,"Back Office","D - 100L",28,"$96.34",1
"380",10,"Thursday",1,52,"Web","Q - 300L",2,"$25.10",0
"381",15,"Saturday",75,58,"Back Office","R - 300L",3,"$23.01",0
"382",10,"Wednesday",79,61,"Back Office","R - 300L",2,"$24.15",0
"383",31,"Tuesday",1,31,"Web","H - 100L",5,"$98.36",0
"384",3,"Tuesday",0,65,"Web","O - 300L",2,"$80.10",0
"385",26,"Tuesday",0,21,"Back Office","I - 100L",4,"$42.05",1
"386",15,"Friday",0,62,"Web","O - 300L",3,"$36.42",0
"387",22,"Thursday",16,18,"Web","D - 100L",2,"$105.64",0
