"","opponent","event_day_of_week","days_before_event","section_name","channel","price_level","primary_tickets_sold","primary_average_ticket_price","churn"
"39982",17,"Saturday",20,16,"Web","C - 100L",1,"$176.00",1
"39983",16,"Thursday",0,16,"Web","C - 100L",1,"$83.58",0
"39984",31,"Saturday",47,33,"Back Office","D - 100L",3,"$115.73",1
"39985",18,"Saturday",3,67,"Back Office","R - 300L",13,"$24.54",0
"39986",4,"Saturday",25,16,"Back Office","C - 100L",2,"$233.20",0
"39987",21,"Thursday",0,31,"Box Office","H - 100L",1,"$79.28",1
"39988",10,"Saturday",1,24,"Back Office","D - 100L",1,"$218.63",0
"39989",20,"Sunday",13,34,"Back Office","D - 100L",4,"$85.34",0
"39990",31,"Saturday",73,47,"Web","P - 300L",2,"$32.55",0
"39991",23,"Saturday",10,47,"Web","O - 300L",3,"$47.47",0
"39992",29,"Thursday",196,47,"Box Office","P - 300L",1,"$65.69",1
"39993",23,"Saturday",69,16,"Web","C - 100L",4,"$224.00",1
"39994",21,"Saturday",40,7,"Web","J",2,"$118.45",0
"39995",11,"Tuesday",28,33,"Back Office","D - 100L",2,"$63.86",1
"39996",27,"Saturday",1,74,"Back Office","R - 300L",7,"$86.59",1
"39997",31,"Monday",0,66,"Back Office","P - 300L",10,"$14.88",0
"39998",21,"Thursday",10,25,"Back Office","D - 100L",2,"$117.12",0
"39999",29,"Monday",0,80,"Box Office","O - 300L",2,"$56.68",0
"40000",27,"Monday",0,30,"Web","H - 100L",3,"$58.06",0
"40001",10,"Wednesday",118,16,"Back Office","C - 100L",7,"$129.72",0
"40002",31,"Saturday",86,17,"Web","D - 100L",3,"$84.60",0
"40003",23,"Saturday",23,23,"Back Office","G - 100L",2,"$74.47",1
"40004",11,"Thursday",2,22,"Back Office","I - 100L",3,"$36.08",1
"40005",23,"Monday",0,26,"Back Office","C - 100L",3,"$102.59",1
"40006",31,"Saturday",33,47,"Back Office","O - 300L",6,"$75.60",1
"40007",3,"Saturday",10,70,"Back Office","R - 300L",2,"$49.01",0
"40008",9,"Thursday",5,43,"Web","L2 - 200L",1,"$101.99",0
"40009",27,"Saturday",5,66,"Back Office","P - 300L",11,"$25.05",0
"40010",7,"Monday",0,79,"Back Office","P - 300L",4,"$19.21",1
"40011",16,"Saturday",10,67,"Back Office","R - 300L",1,"$35.24",0
"40012",2,"Wednesday",0,43,"Back Office","K - 200L",2,"$87.42",0
"40013",17,"Saturday",18,16,"Web","C - 100L",2,"$182.62",0
"40014",18,"Saturday",0,67,"Web","R - 300L",3,"$33.56",0
"40015",2,"Wednesday",65,47,"Back Office","O - 300L",2,"$63.18",0
"40016",20,"Sunday",33,25,"Back Office","D - 100L",3,"$106.28",0
"40017",16,"Saturday",54,31,"Back Office","H - 100L",4,"$110.88",0
"40018",5,"Thursday",1,51,"Web","R - 300L",1,"$54.08",0
"40019",14,"Wednesday",5,48,"Back Office","P - 300L",6,"$21.12",1
"40020",25,"Thursday",1,40,"Web","L1 - 200L",2,"$93.45",1
"40021",11,"Saturday",1,43,"Web","L2 - 200L",2,"$55.05",1
"40022",30,"Sunday",4,70,"Web","R - 300L",1,"$36.75",0
"40023",14,"Saturday",152,74,"Web","Q - 300L",2,"$94.88",0
"40024",20,"Tuesday",6,26,"Web","C - 100L",2,"$214.26",0
"40025",26,"Sunday",0,79,"Back Office","O - 300L",1,"$15.48",1
"40026",3,"Saturday",109,67,"Web","R - 300L",2,"$70.68",1
"40027",3,"Sunday",24,22,"Web","I - 100L",4,"$172.21",0
"40028",9,"Friday",50,16,"Web","C - 100L",2,"$263.20",0
"40029",20,"Tuesday",27,27,"Web","D - 100L",1,"$150.96",1
"40030",14,"Saturday",0,67,"Web","R - 300L",2,"$50.20",1
"40031",5,"Thursday",86,66,"Back Office","P - 300L",3,"$24.78",0
"40032",20,"Tuesday",63,62,"Web","N - 300L",2,"$58.85",0
"40033",18,"Thursday",78,16,"Call Center","C - 100L",2,"$148.41",0
"40034",20,"Tuesday",134,23,"Web","G - 100L",3,"$117.16",0
"40035",20,"Tuesday",1,80,"Web","P - 300L",3,"$34.22",0
"40036",6,"Tuesday",34,26,"Web","C - 100L",4,"$178.74",0
"40037",9,"Thursday",0,31,"Web","H - 100L",2,"$75.94",1
"40038",20,"Sunday",104,34,"Back Office","D - 100L",2,"$117.61",0
"40039",29,"Monday",18,48,"Web","O - 300L",2,"$49.60",0
"40040",27,"Monday",57,35,"Web","L1 - 200L",2,"$74.10",0
"40041",22,"Thursday",157,63,"Web","P - 300L",2,"$43.68",0
"40042",3,"Thursday",0,67,"Box Office","R - 300L",2,"$36.80",0
"40043",6,"Wednesday",23,78,"Back Office","R - 300L",1,"$13.27",0
"40044",20,"Thursday",0,46,"Web","K - 200L",4,"$74.94",0
"40045",15,"Friday",14,30,"Web","F -100L",5,"$90.47",0
"40046",27,"Saturday",0,73,"Back Office","R - 300L",28,"$16.70",0
"40047",15,"Friday",0,79,"Web","P - 300L",1,"$39.39",1
"40048",25,"Saturday",5,61,"Web","R - 300L",3,"$69.00",0
"40049",17,"Tuesday",0,41,"Box Office","K - 200L",2,"$66.30",1
"40050",21,"Thursday",0,24,"Back Office","D - 100L",14,"$120.44",0
"40051",30,"Tuesday",0,26,"Box Office","C - 100L",1,"$89.76",0
"40052",25,"Saturday",2,62,"Back Office","O - 300L",6,"$61.99",1
"40053",9,"Thursday",0,80,"Web","P - 300L",2,"$29.82",0
"40054",14,"Saturday",0,35,"Web","L1 - 200L",2,"$77.48",1
"40055",28,"Saturday",3,79,"Web","O - 300L",4,"$77.76",0
"40056",14,"Saturday",63,80,"Web","O - 300L",2,"$90.97",0
"40057",27,"Saturday",2,21,"Back Office","I - 100L",3,"$125.48",1
"40058",15,"Friday",44,16,"Web","C - 100L",2,"$122.66",0
"40059",25,"Saturday",0,19,"Box Office","G - 100L",1,"$130.36",1
"40060",6,"Tuesday",0,78,"Box Office","R - 300L",1,"$41.23",0
"40061",9,"Monday",3,48,"Back Office","P - 300L",2,"$15.90",0
"40062",15,"Saturday",10,35,"Back Office","L1 - 200L",2,"$56.63",0
"40063",10,"Thursday",11,31,"Web","H - 100L",2,"$93.86",0
"40064",15,"Friday",24,17,"Web","D - 100L",2,"$120.12",0
"40065",24,"Thursday",0,65,"Web","O - 300L",2,"$41.47",0
"40066",18,"Saturday",2,64,"Back Office","O - 300L",3,"$28.26",0
"40067",20,"Thursday",1,76,"Back Office","R - 300L",7,"$17.63",0
"40068",11,"Saturday",27,20,"Web","G - 100L",2,"$123.84",0
"40069",26,"Saturday",15,46,"Web","K - 200L",2,"$53.50",0
"40070",20,"Thursday",3,25,"Back Office","D - 100L",3,"$79.94",0
"40071",31,"Saturday",1,20,"Web","G - 100L",2,"$206.07",0
"40072",21,"Saturday",92,26,"Web","C - 100L",2,"$220.00",0
"40073",2,"Wednesday",9,22,"Back Office","I - 100L",2,"$67.91",1
"40074",4,"Wednesday",0,27,"Back Office","D - 100L",6,"$67.49",0
"40075",9,"Thursday",114,28,"Web","D - 100L",2,"$103.61",0
"40076",23,"Saturday",76,48,"Web","O - 300L",2,"$57.57",0
"40077",25,"Thursday",0,79,"Web","P - 300L",1,"$30.80",1
"40078",24,"Saturday",108,43,"Back Office","L2 - 200L",4,"$79.00",0
"40079",31,"Saturday",30,17,"Web","D - 100L",2,"$71.15",0
"40080",7,"Monday",32,26,"Box Office","C - 100L",2,"$204.97",1
"40081",3,"Saturday",17,29,"Back Office","F -100L",4,"$121.80",0
"40082",14,"Saturday",0,32,"Web","F -100L",2,"$199.25",0
"40083",29,"Monday",8,38,"Web","M - 200L",6,"$52.13",1
"40084",31,"Saturday",0,56,"Back Office","R - 300L",9,"$48.05",1
"40085",16,"Saturday",0,21,"Back Office","G - 100L",25,"$133.14",0
"40086",31,"Saturday",13,26,"Web","C - 100L",3,"$277.00",1
"40087",31,"Saturday",0,26,"Box Office","C - 100L",3,"$265.92",0
"40088",18,"Saturday",0,29,"Box Office","F -100L",1,"$108.90",1
"40089",9,"Monday",6,30,"Back Office","H - 100L",2,"$63.06",0
"40090",29,"Monday",13,33,"Web","D - 100L",2,"$104.21",0
"40091",30,"Sunday",0,26,"Web","C - 100L",2,"$95.45",0
"40092",9,"Monday",4,43,"Web","K - 200L",1,"$101.14",0
"40093",16,"Saturday",2,23,"Back Office","G - 100L",8,"$107.11",0
"40094",10,"Thursday",1,68,"Web","R - 300L",2,"$15.61",1
"40095",4,"Thursday",75,63,"Web","P - 300L",8,"$31.50",0
"40096",20,"Sunday",4,30,"Back Office","F -100L",4,"$73.46",1
"40097",6,"Tuesday",34,17,"Web","D - 100L",3,"$101.48",0
"40098",16,"Saturday",18,41,"Back Office","K - 200L",2,"$75.92",0
